"ExpID","Well_coordinate","Time_Hrs","LC.fraction"
"ASCT.07.20230427","I30",0,1
"ASCT.07.20230427","I30",0.476323765432099,0.993946977153064
"ASCT.07.20230427","I30",2.99326666666667,0.968056620401824
"ASCT.07.20230427","I30",3,0.967752336345028
"ASCT.07.20230427","I30",5.4967787037037,0.85492115522323
"ASCT.07.20230427","I30",6,0.819343968970522
"ASCT.07.20230427","I30",7.99727901234568,0.67813856303117
"ASCT.07.20230427","I30",9,0.623570923376025
"ASCT.07.20230427","I30",10.4999462962963,0.541944498871003
"ASCT.07.20230427","I30",12,0.488129129417218
"ASCT.07.20230427","I30",12.9994796296296,0.452272169498219
"ASCT.07.20230427","I30",15.4970265432099,0.39415371241601
"ASCT.07.20230427","I30",18.0026586419753,0.353295493167959
"ASCT.07.20230427","I30",20.4989641975309,0.32929297492983
"ASCT.07.20230427","I30",23.0019947530864,0.311358509055274
"ASCT.07.20230427","I30",24,0.305318092708002
"ASCT.07.20230427","I30",25.4972833333333,0.296255800950384
"ASCT.07.20230427","I30",27.9988645061728,0.284928769871717
"ASCT.07.20230427","I30",30.5011817901235,0.271579054671859
"ASCT.07.20230427","I30",32.9986611111111,0.260791406025508
"ASCT.07.20230427","I30",35.5008845679012,0.251891595892271
"ASCT.07.20230427","I30",36,0.250249332327458
"ASCT.07.20230427","I30",38.0007969135802,0.243666013799428
"ASCT.07.20230427","I30",40.4995410493827,0.237193424611618
"ASCT.07.20230427","I30",43.0023722222222,0.230451144207649
"ASCT.07.20230427","I30",45.4988228395062,0.225461856708712
"ASCT.07.20230427","I30",47.9990561728395,0.219258958737062
"ASCT.07.20230427","I30",48,0.219257026492508
"ASCT.07.20230427","I30",50.5019981481481,0.214134825630046
"ASCT.07.20230427","I30",52.9993694444444,0.210224302995744
"ASCT.07.20230427","I30",55.5016725308642,0.204156250632172
"ASCT.07.20230427","I30",58.0039990740741,0.199571499957473
"ASCT.07.20230427","I30",60,0.195907208886576
"ASCT.07.20230427","I30",60.5013898148148,0.194986749282775
"ASCT.07.20230427","I30",63.0008509259259,0.192424682729266
"ASCT.07.20230427","I30",65.5013611111111,0.190132307391916
"ASCT.07.20230427","I30",68.0047219135802,0.186491475973774
"ASCT.07.20230427","I30",70.5040305555556,0.18298549016371
"ASCT.07.20230427","I30",72,0.181532125770288
"ASCT.07.20230427","I30",73.0024049382716,0.180558269218282
