sep=,
TimeStamp,Time [s]
TimeStamp 1,1713.1085984999984
TimeStamp 2,10773.975371600001
TimeStamp 3,19786.689771499998
TimeStamp 4,28788.502697099997
TimeStamp 5,37798.160570600005
TimeStamp 6,46796.3426803
TimeStamp 7,55787.704254799995
TimeStamp 8,64807.78794219999
TimeStamp 9,73794.6303823
TimeStamp 10,82805.57473790001
TimeStamp 11,91788.4822306
TimeStamp 12,100794.39497750001
TimeStamp 13,109802.5683904
TimeStamp 14,118793.53459389998
TimeStamp 15,127801.4077578
TimeStamp 16,136801.0656803
TimeStamp 17,145796.5178566
TimeStamp 18,154806.6624641
TimeStamp 19,163793.98879040004
TimeStamp 20,172794.9198349
TimeStamp 21,181805.60802880002
TimeStamp 22,190796.03648970003
TimeStamp 23,199804.18217109996
TimeStamp 24,208812.7354095
TimeStamp 25,217803.182681
TimeStamp 26,226801.3528981
TimeStamp 27,235803.04756900002
TimeStamp 28,244815.28924339998
TimeStamp 29,253812.86011440004
TimeStamp 30,262806.89475950005
