sep=,
TimeStamp,Time [s]
TimeStamp 1,1714.8366865999997
TimeStamp 2,10775.697834900004
TimeStamp 3,19788.351783799997
TimeStamp 4,28790.1788107
TimeStamp 5,37799.8031906
TimeStamp 6,46798.111585000006
TimeStamp 7,55789.29761560001
TimeStamp 8,64809.623909500006
TimeStamp 9,73796.3349524
TimeStamp 10,82807.1307933
TimeStamp 11,91790.2382292
TimeStamp 12,100795.8072985
TimeStamp 13,109804.1850191
TimeStamp 14,118795.17148789998
TimeStamp 15,127803.16002549998
TimeStamp 16,136802.80924690003
TimeStamp 17,145798.4061881
TimeStamp 18,154808.58342739998
TimeStamp 19,163795.73719270003
TimeStamp 20,172796.64994980002
TimeStamp 21,181807.23384359997
TimeStamp 22,190797.73871670003
TimeStamp 23,199806.0650553
TimeStamp 24,208814.42462540002
TimeStamp 25,217804.9939398
TimeStamp 26,226803.0933607
TimeStamp 27,235804.93765670003
TimeStamp 28,244816.99034290004
TimeStamp 29,253814.45482790004
TimeStamp 30,262808.7418059
