sep=,
TimeStamp,Time [s]
TimeStamp 1,1715.2783653999977
TimeStamp 2,10776.289169300002
TimeStamp 3,19788.96548859999
TimeStamp 4,28790.753690499998
TimeStamp 5,37800.3425804
TimeStamp 6,46798.668086699996
TimeStamp 7,55789.8604391
TimeStamp 8,64810.12112959999
TimeStamp 9,73796.7641931
TimeStamp 10,82807.6565581
TimeStamp 11,91790.7204679
TimeStamp 12,100796.35547
TimeStamp 13,109804.8460854
TimeStamp 14,118795.69423000001
TimeStamp 15,127803.71542810001
TimeStamp 16,136803.3802478
TimeStamp 17,145798.9087428
TimeStamp 18,154809.18710329998
TimeStamp 19,163796.29471280004
TimeStamp 20,172797.1029671
TimeStamp 21,181807.66952490003
TimeStamp 22,190798.34683
TimeStamp 23,199806.61492430003
TimeStamp 24,208814.88591969997
TimeStamp 25,217805.5382363
TimeStamp 26,226803.6831506
TimeStamp 27,235805.50837809997
TimeStamp 28,244817.50273360003
TimeStamp 29,253815.0548199
TimeStamp 30,262809.200907
