sep=,
TimeStamp,Time [s]
TimeStamp 1,3870.5796776999905
TimeStamp 2,13047.937265699997
TimeStamp 3,22091.31559619999
TimeStamp 4,31097.380724000006
TimeStamp 5,40096.2661258
TimeStamp 6,49087.53621569998
TimeStamp 7,58082.726081799985
TimeStamp 8,67071.5091674
TimeStamp 9,76085.36399279998
TimeStamp 10,85114.50477589999
TimeStamp 11,94084.77373179997
TimeStamp 12,103103.1189559
TimeStamp 13,112085.4122368
TimeStamp 14,121099.2616488
TimeStamp 15,130089.83137119998
TimeStamp 16,139090.62581419997
TimeStamp 17,148091.30917370002
TimeStamp 18,157095.3420762
TimeStamp 19,166128.8526142
TimeStamp 20,175094.31791689998
TimeStamp 21,184120.1179324
TimeStamp 22,193125.75009390002
TimeStamp 23,202123.7291447
TimeStamp 24,211113.6315456
TimeStamp 25,220129.09841540002
TimeStamp 26,229131.01917699998
TimeStamp 27,238122.8924264
TimeStamp 28,247122.99867590005
TimeStamp 29,256126.85652480007
TimeStamp 30,265125.4056074
